record_id,Service,Scenario,Location,Sentiment,Sentiment Score,Latitude,Longitude,X,Y,Data_Type,Coordinate_Method
SIM-0017,Uber,Verbal Distress,Mission District,Positive,0.2166666666666666,37.76000962545492,-122.41484880839717,-122.41484880839717,37.76000962545492,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0018,Waymo,Claustrophobia,Tenderloin,Negative,-0.25,37.784559324407375,-122.41410371931522,-122.41410371931522,37.784559324407375,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0019,Waymo,Heart Attack,Embarcadero,Neutral,0.0,37.79478159290899,-122.39422195330403,-122.39422195330403,37.79478159290899,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0020,Waymo,Wrong Address,Embarcadero,Negative,-0.15,37.795763287332576,-122.39394551940961,-122.39394551940961,37.795763287332576,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0021,Waymo,Claustrophobia,Castro,Negative,-0.25,37.76063829772117,-122.43538798958396,-122.43538798958396,37.76063829772117,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0022,Uber,Fainting,Tenderloin,Positive,0.3333333333333333,37.78425091168825,-122.41425091168824,-122.41425091168824,37.78425091168825,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0023,Waymo,Verbal Distress,SOMA,Neutral,0.1,37.77798368219481,-122.40639505969843,-122.40639505969843,37.77798368219481,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0024,Waymo,Heart Attack,Tenderloin,Neutral,0.0,37.78435876711695,-122.41475368673686,-122.41475368673686,37.78435876711695,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0025,Uber,Wrong Address,Embarcadero,Neutral,0.0916666666666666,37.79539124306555,-122.3937507141914,-122.3937507141914,37.79539124306555,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0026,Waymo,Heart Attack,SOMA,Neutral,0.0,37.77889534801707,-122.40471203381517,-122.40471203381517,37.77889534801707,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0027,Uber,Heart Attack,Mission District,Positive,0.3333333333333333,37.76018007412795,-122.41490751038486,-122.41490751038486,37.76018007412795,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0028,Uber,Heart Attack,Mission District,Positive,0.3333333333333333,37.759863564925446,-122.4137566359766,-122.4137566359766,37.759863564925446,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0029,Uber,Verbal Distress,Tenderloin,Positive,0.2166666666666666,37.78476329886167,-122.4134524771626,-122.4134524771626,37.78476329886167,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0030,Uber,Heart Attack,SOMA,Positive,0.3333333333333333,37.778525005337585,-122.40574181231644,-122.40574181231644,37.778525005337585,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0031,Waymo,Verbal Distress,SOMA,Neutral,0.1,37.77866199748952,-122.40675267203203,-122.40675267203203,37.77866199748952,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0032,Waymo,Verbal Distress,Financial District,Neutral,0.1,37.79460565228327,-122.39979214801025,-122.39979214801025,37.79460565228327,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0033,Uber,Claustrophobia,Embarcadero,Neutral,0.0416666666666666,37.795315113211444,-122.3936137858746,-122.3936137858746,37.795315113211444,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0034,Waymo,Claustrophobia,SOMA,Negative,-0.25,37.77764857465104,-122.40592683156999,-122.40592683156999,37.77764857465104,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0035,Waymo,Heart Attack,Mission District,Neutral,0.0,37.7598949757482,-122.41489586843534,-122.41489586843534,37.7598949757482,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0036,Uber,Heart Attack,SOMA,Positive,0.3333333333333333,37.778572164954994,-122.40642484921003,-122.40642484921003,37.778572164954994,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0037,Uber,General,Mission District,Positive,0.1041666666666666,37.75932358824745,-122.41453121478553,-122.41453121478553,37.75932358824745,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0038,Waymo,Heart Attack,Tenderloin,Neutral,0.0,37.78519596488474,-122.41472956392282,-122.41472956392282,37.78519596488474,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0039,Waymo,Verbal Distress,Tenderloin,Neutral,0.1,37.78402468411428,-122.41463392204393,-122.41463392204393,37.78402468411428,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0040,Uber,General,Tenderloin,Positive,0.1041666666666666,37.784735229820754,-122.41516558015668,-122.41516558015668,37.784735229820754,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0041,Uber,General,Tenderloin,Positive,0.1041666666666666,37.784371728095834,-122.4150834644651,-122.4150834644651,37.784371728095834,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0042,Waymo,General,Tenderloin,Positive,0.215625,37.783400404396126,-122.41428404088447,-122.41428404088447,37.783400404396126,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0043,Waymo,Fainting,SOMA,Neutral,0.0,37.778216316128706,-122.40537836186888,-122.40537836186888,37.778216316128706,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0044,Uber,Fainting,Mission District,Positive,0.3333333333333333,37.759255809775205,-122.41384494871642,-122.41384494871642,37.759255809775205,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0045,Uber,Claustrophobia,Embarcadero,Neutral,0.0416666666666666,37.79631152986662,-122.39378529522602,-122.39378529522602,37.79631152986662,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0046,Uber,Verbal Distress,Tenderloin,Positive,0.2166666666666666,37.784096170289885,-122.41451955498947,-122.41451955498947,37.784096170289885,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0047,Waymo,General,SOMA,Positive,0.215625,37.77839350019804,-122.40537161043767,-122.40537161043767,37.77839350019804,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0048,Waymo,Fainting,Tenderloin,Neutral,0.0,37.7847501694294,-122.41476971712186,-122.41476971712186,37.7847501694294,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0049,Uber,Claustrophobia,Tenderloin,Neutral,0.0416666666666666,37.784176817780164,-122.41420621165707,-122.41420621165707,37.784176817780164,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0050,Uber,Heart Attack,Tenderloin,Positive,0.3333333333333333,37.78384608481823,-122.41385822808172,-122.41385822808172,37.78384608481823,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0051,Uber,Wrong Address,Mission District,Neutral,0.0916666666666666,37.76019666193115,-122.4143062716348,-122.4143062716348,37.76019666193115,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0052,Waymo,Heart Attack,Embarcadero,Neutral,0.0,37.79569271392735,-122.39328672364911,-122.39328672364911,37.79569271392735,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0053,Uber,Fainting,Mission District,Positive,0.3333333333333333,37.760342454851184,-122.4149103163844,-122.4149103163844,37.760342454851184,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0054,Waymo,Heart Attack,Castro,Neutral,0.0,37.760804,-122.43483372312248,-122.43483372312248,37.760804,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0055,Uber,Heart Attack,Financial District,Positive,0.3333333333333333,37.794029623238465,-122.40074561832401,-122.40074561832401,37.794029623238465,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0056,Uber,General,Financial District,Positive,0.1041666666666666,37.79433158740634,-122.40029793803483,-122.40029793803483,37.79433158740634,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0057,Uber,Verbal Distress,Embarcadero,Positive,0.2166666666666666,37.79468847013337,-122.39378529522602,-122.39378529522602,37.79468847013337,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0058,Waymo,Verbal Distress,Castro,Neutral,0.1,37.761145859355125,-122.43480791361971,-122.43480791361971,37.761145859355125,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0059,Uber,Heart Attack,Embarcadero,Positive,0.3333333333333333,37.79614166591322,-122.39340078627069,-122.39340078627069,37.79614166591322,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0060,Waymo,Heart Attack,Financial District,Neutral,0.0,37.79577528361258,-122.39985895819188,-122.39985895819188,37.79577528361258,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0061,Waymo,Claustrophobia,SOMA,Negative,-0.25,37.77882204949809,-122.40539085861056,-122.40539085861056,37.77882204949809,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0062,Waymo,Wrong Address,SOMA,Negative,-0.15,37.77746941432014,-122.40554598929316,-122.40554598929316,37.77746941432014,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0063,Uber,Verbal Distress,Mission District,Positive,0.2166666666666666,37.76074335909861,-122.41543551666445,-122.41543551666445,37.76074335909861,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0064,Waymo,Verbal Distress,Financial District,Neutral,0.1,37.79356144628421,-122.39956255344214,-122.39956255344214,37.79356144628421,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0065,Waymo,Verbal Distress,Financial District,Neutral,0.1,37.79393807096697,-122.39938284436073,-122.39938284436073,37.79393807096697,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0066,Waymo,Fainting,Mission District,Neutral,0.0,37.759214107880204,-122.414404,-122.414404,37.759214107880204,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0067,Waymo,Verbal Distress,Mission District,Neutral,0.1,37.759259977955296,-122.41490136953334,-122.41490136953334,37.759259977955296,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0068,Waymo,Heart Attack,Tenderloin,Neutral,0.0,37.78374371441517,-122.4138684891177,-122.4138684891177,37.78374371441517,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0069,Waymo,Wrong Address,Mission District,Negative,-0.15,37.759940256187264,-122.41482614267368,-122.41482614267368,37.759940256187264,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0070,Waymo,Claustrophobia,Castro,Negative,-0.25,37.760979486037385,-122.43590852956466,-122.43590852956466,37.760979486037385,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0071,Uber,Claustrophobia,Embarcadero,Neutral,0.0416666666666666,37.79604646489908,-122.3926722490019,-122.3926722490019,37.79604646489908,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0072,Waymo,Claustrophobia,Castro,Negative,-0.25,37.76085030674334,-122.43481454224136,-122.43481454224136,37.76085030674334,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0073,Uber,Claustrophobia,Tenderloin,Neutral,0.0416666666666666,37.784010979433454,-122.41407250401801,-122.41407250401801,37.784010979433454,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0074,Uber,Fainting,Tenderloin,Positive,0.3333333333333333,37.78415518813953,-122.41418279833842,-122.41418279833842,37.78415518813953,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0075,Uber,General,Castro,Positive,0.1041666666666666,37.76032947935805,-122.43424289353648,-122.43424289353648,37.76032947935805,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0076,Uber,Verbal Distress,Tenderloin,Positive,0.2166666666666666,37.78427515347452,-122.41473474475711,-122.41473474475711,37.78427515347452,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0077,Waymo,General,Financial District,Positive,0.215625,37.793947527096016,-122.39939023229843,-122.39939023229843,37.793947527096016,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0078,Uber,Fainting,Financial District,Positive,0.3333333333333333,37.79358513196956,-122.39953061824521,-122.39953061824521,37.79358513196956,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0079,Waymo,Claustrophobia,SOMA,Negative,-0.25,37.77945609204578,-122.406152,-122.406152,37.77945609204578,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0080,Waymo,Heart Attack,Financial District,Neutral,0.0,37.794168736824574,-122.39957501988751,-122.39957501988751,37.794168736824574,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0081,Waymo,Heart Attack,Tenderloin,Neutral,0.0,37.78367575698764,-122.41458088484347,-122.41458088484347,37.78367575698764,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0082,Waymo,General,Tenderloin,Positive,0.215625,37.78428157777521,-122.41326756176258,-122.41326756176258,37.78428157777521,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0083,Uber,Fainting,Tenderloin,Positive,0.3333333333333333,37.78406872310981,-122.41418620224285,-122.41418620224285,37.78406872310981,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0084,Waymo,Fainting,Mission District,Neutral,0.0,37.759970980946285,-122.41516516531225,-122.41516516531225,37.759970980946285,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0085,Uber,General,Financial District,Positive,0.1041666666666666,37.79507801173251,-122.40030109946845,-122.40030109946845,37.79507801173251,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0086,Uber,Wrong Address,Embarcadero,Neutral,0.0916666666666666,37.79666617309393,-122.3939266810865,-122.3939266810865,37.79666617309393,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0087,Waymo,Claustrophobia,Tenderloin,Negative,-0.25,37.783427827201336,-122.41355207008942,-122.41355207008942,37.783427827201336,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0088,Uber,Wrong Address,Tenderloin,Neutral,0.0916666666666666,37.78370828128975,-122.41381582723939,-122.41381582723939,37.78370828128975,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0089,Uber,Fainting,Mission District,Positive,0.3333333333333333,37.76055266986554,-122.41425234495655,-122.41425234495655,37.76055266986554,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0090,Uber,Claustrophobia,Tenderloin,Neutral,0.0416666666666666,37.78408422080493,-122.41382130331664,-122.41382130331664,37.78408422080493,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0091,Waymo,General,Financial District,Positive,0.215625,37.79549623720944,-122.40024403323157,-122.40024403323157,37.79549623720944,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0092,Waymo,Heart Attack,SOMA,Neutral,0.0,37.77849084116822,-122.4055528818952,-122.4055528818952,37.77849084116822,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0093,Waymo,Wrong Address,Mission District,Negative,-0.15,37.75948313061631,-122.41474881487576,-122.41474881487576,37.75948313061631,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0094,Waymo,Heart Attack,Tenderloin,Neutral,0.0,37.78333932571963,-122.41446313453424,-122.41446313453424,37.78333932571963,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0095,Waymo,General,Mission District,Positive,0.215625,37.75943380367097,-122.41504788098516,-122.41504788098516,37.75943380367097,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0096,Uber,Verbal Distress,SOMA,Positive,0.2166666666666666,37.77856096431769,-122.40535548547699,-122.40535548547699,37.77856096431769,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0097,Waymo,Verbal Distress,Financial District,Neutral,0.1,37.794816840885716,-122.39982954412528,-122.39982954412528,37.794816840885716,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0098,Uber,General,SOMA,Positive,0.1041666666666666,37.77822912004649,-122.40485576344435,-122.40485576344435,37.77822912004649,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0099,Waymo,Fainting,SOMA,Neutral,0.0,37.778690568861116,-122.40562339891395,-122.40562339891395,37.778690568861116,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0100,Uber,Wrong Address,SOMA,Neutral,0.0916666666666666,37.77871013553457,-122.40594972425869,-122.40594972425869,37.77871013553457,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0101,Waymo,General,SOMA,Positive,0.215625,37.779025107560756,-122.4055448089714,-122.4055448089714,37.779025107560756,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0102,Waymo,Fainting,Financial District,Neutral,0.0,37.793909702579846,-122.39936068054762,-122.39936068054762,37.793909702579846,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0103,Uber,Fainting,Mission District,Positive,0.3333333333333333,37.76000354478712,-122.41406324055686,-122.41406324055686,37.76000354478712,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0104,Uber,General,Tenderloin,Positive,0.1041666666666666,37.78420621165708,-122.41422318221983,-122.41422318221983,37.78420621165708,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0105,Uber,Fainting,Mission District,Positive,0.3333333333333333,37.76030402937205,-122.4148567826252,-122.4148567826252,37.76030402937205,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0106,Waymo,Wrong Address,Castro,Negative,-0.15,37.75975802110523,-122.43467254282129,-122.43467254282129,37.75975802110523,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0107,Uber,Heart Attack,Financial District,Positive,0.3333333333333333,37.795363243286545,-122.39942307266219,-122.39942307266219,37.795363243286545,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0108,Waymo,Claustrophobia,Embarcadero,Negative,-0.25,37.79498784618575,-122.3937628845812,-122.3937628845812,37.79498784618575,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0109,Waymo,General,Tenderloin,Positive,0.215625,37.78351071752079,-122.41369920696503,-122.41369920696503,37.78351071752079,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0110,Waymo,Verbal Distress,Embarcadero,Neutral,0.1,37.79623793921128,-122.3931439229186,-122.3931439229186,37.79623793921128,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0111,Waymo,Heart Attack,SOMA,Neutral,0.0,37.777707311119315,-122.40495809320113,-122.40495809320113,37.777707311119315,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0112,Waymo,General,Financial District,Positive,0.215625,37.79418342327132,-122.39971452809075,-122.39971452809075,37.79418342327132,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0113,Uber,Fainting,Tenderloin,Positive,0.3333333333333333,37.78418303626094,-122.4132281480403,-122.4132281480403,37.78418303626094,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0114,Waymo,Claustrophobia,Embarcadero,Negative,-0.25,37.79502423378436,-122.39428752234686,-122.39428752234686,37.79502423378436,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0115,Waymo,Wrong Address,Mission District,Negative,-0.15,37.76083585744267,-122.41481633545243,-122.41481633545243,37.76083585744267,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0116,Uber,Heart Attack,Mission District,Positive,0.3333333333333333,37.75982678867036,-122.4143377618566,-122.4143377618566,37.75982678867036,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0117,Waymo,Verbal Distress,Embarcadero,Neutral,0.1,37.795097023157034,-122.39376382526173,-122.39376382526173,37.795097023157034,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0118,Waymo,Fainting,SOMA,Neutral,0.0,37.778226095723305,-122.40551100310563,-122.40551100310563,37.778226095723305,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0119,Waymo,Claustrophobia,Financial District,Negative,-0.25,37.79431631612871,-122.39967836186888,-122.39967836186888,37.79431631612871,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0120,Waymo,Verbal Distress,SOMA,Neutral,0.1,37.77771018483175,-122.406056,-122.406056,37.77771018483175,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0121,Uber,Heart Attack,SOMA,Positive,0.3333333333333333,37.777820333977665,-122.40643931763839,-122.40643931763839,37.777820333977665,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0122,Uber,Claustrophobia,Castro,Neutral,0.0416666666666666,37.759861446284205,-122.43466255344214,-122.43466255344214,37.759861446284205,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0123,Waymo,Fainting,SOMA,Neutral,0.0,37.777815644816556,-122.40515557454744,-122.40515557454744,37.777815644816556,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0124,Uber,Heart Attack,Castro,Positive,0.3333333333333333,37.759992211611845,-122.43570924201958,-122.43570924201958,37.759992211611845,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0125,Waymo,Heart Attack,Tenderloin,Neutral,0.0,37.784298909554074,-122.41394233180228,-122.41394233180228,37.784298909554074,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0126,Uber,General,SOMA,Positive,0.1041666666666666,37.778435888177555,-122.40592982673364,-122.40592982673364,37.778435888177555,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0127,Waymo,Claustrophobia,Tenderloin,Negative,-0.25,37.78431046058241,-122.41424688773542,-122.41424688773542,37.78431046058241,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0128,Uber,Wrong Address,Embarcadero,Neutral,0.0916666666666666,37.796460033067056,-122.39385205430001,-122.39385205430001,37.796460033067056,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0129,Uber,Fainting,Embarcadero,Positive,0.3333333333333333,37.79627230950891,-122.39442019026822,-122.39442019026822,37.79627230950891,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0130,Uber,Fainting,Castro,Positive,0.3333333333333333,37.7605458874102,-122.43430501491113,-122.43430501491113,37.7605458874102,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0131,Uber,Heart Attack,Mission District,Positive,0.3333333333333333,37.75995562305899,-122.41462880982706,-122.41462880982706,37.75995562305899,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0132,Waymo,General,Castro,Positive,0.215625,37.76094773705098,-122.43500501736624,-122.43500501736624,37.76094773705098,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0133,Waymo,Claustrophobia,SOMA,Negative,-0.25,37.778352241245926,-122.40541087741914,-122.40541087741914,37.778352241245926,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0134,Waymo,Fainting,Embarcadero,Neutral,0.0,37.79540729314651,-122.39354570988587,-122.39354570988587,37.79540729314651,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0135,Waymo,Fainting,Embarcadero,Neutral,0.0,37.795945132181956,-122.39298763959923,-122.39298763959923,37.795945132181956,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0136,Waymo,Heart Attack,Embarcadero,Neutral,0.0,37.795347160509884,-122.39332170898733,-122.39332170898733,37.795347160509884,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0137,Waymo,Wrong Address,Tenderloin,Negative,-0.15,37.78374864369646,-122.41323206328344,-122.41323206328344,37.78374864369646,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0138,Waymo,Verbal Distress,Financial District,Neutral,0.1,37.7946,-122.3999,-122.3999,37.7946,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0139,Uber,Heart Attack,Tenderloin,Positive,0.3333333333333333,37.78418826222879,-122.4141975050597,-122.4141975050597,37.78418826222879,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0140,Uber,Fainting,Financial District,Positive,0.3333333333333333,37.794346226912275,-122.39982723173807,-122.39982723173807,37.794346226912275,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0141,Uber,Verbal Distress,Castro,Positive,0.2166666666666666,37.76143618097317,-122.43433787164084,-122.43433787164084,37.76143618097317,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0142,Waymo,Claustrophobia,Financial District,Negative,-0.25,37.793775433165905,-122.40006027955612,-122.40006027955612,37.793775433165905,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0143,Uber,Claustrophobia,SOMA,Neutral,0.0416666666666666,37.777312180938154,-122.40562073345886,-122.40562073345886,37.777312180938154,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0144,Uber,Verbal Distress,Financial District,Positive,0.2166666666666666,37.79467547963143,-122.3995972677334,-122.3995972677334,37.79467547963143,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0145,Uber,Heart Attack,SOMA,Positive,0.3333333333333333,37.77928339353209,-122.40541913935232,-122.40541913935232,37.77928339353209,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0146,Waymo,Fainting,Mission District,Neutral,0.0,37.7597577711244,-122.41430398896489,-122.41430398896489,37.7597577711244,Simulated,Approximate neighborhood centroid plus deterministic jitter
