record_id,Dataset,Source,Service,Respondent_Group,Scenario,Sentiment,Sentiment Score,Location,Latitude,Longitude,X,Y,Coordinate_Method,Trip_Time_Minutes,Time_of_Day,Trip_Purpose,Alternative_Mode,Choice_Factors,Barrier_to_Riding,Encouragement,Late_Night_Travel_Change,Views_Changed,Max_WTP,Zero_Emission_Importance,Accessibility_Importance,Distribution_Importance,Transit_Connectivity_Importance,Zero_Emission_Score,Accessibility_Score,Distribution_Score,Transit_Connectivity_Score,Shared_Ride_View,Attraction_to_Project,Text_Summary,Privacy_Notes,Birth Year,Age in 2022,Age Band (2022),Sex,Ethnicity,Degree Program,Years at USF,Home ZIP Code,Lives on Campus,Household / Roommates,Primary Daily Travel Mode
RR-0011,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Rider Experience,Positive,0.25,Dropoff area,37.795158,-122.430489,-122.430489,37.795158,Final dropoff coordinate from anonymized Dropoff Location field,22.0,10:30 - 11:29 am,Social/recreation,"Yes, Rideshare (e.g. Uber, Lyft, etc.)","Cost (cheaper than alternatives) ,Free ride,Fun",,,No,Yes,$8-9,Somewhat important,Not at all important,Very important,Somewhat important,3.0,,4.0,3.0,Depending on how much more time it would add to the trip.,,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Rideshare (e.g. Uber, Lyft, etc.); choice_factors=Cost (cheaper than alternatives) ,Free ride,Fun; barriers=; encouragement=; late_night_change=No; views_changed=Yes",Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,White,BS/BA,4,94115,No,0,Drive Alone
RR-0012,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Rider Experience,Neutral,0.0,Dropoff area,37.778329,-122.450105,-122.450105,37.778329,Final dropoff coordinate from anonymized Dropoff Location field,22.0,12:30 - 1:29 am,Social/recreation,"Yes, Rideshare (e.g. Uber, Lyft, etc.)","Free ride,Novel technology,Fun",,,No,No,$8-9,Somewhat important,Not at all important,Very important,Not at all important,3.0,,4.0,,If it did not increase the duration of the trip too much it would be fine.,,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Rideshare (e.g. Uber, Lyft, etc.); choice_factors=Free ride,Novel technology,Fun; barriers=; encouragement=; late_night_change=No; views_changed=No",Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,White,BS/BA,4,94115,No,0,Drive Alone
RR-0013,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Rider Experience,Positive,0.4,Dropoff area,37.799423,-122.438659,-122.438659,37.799423,Final dropoff coordinate from anonymized Dropoff Location field,13.0,11:30 - 12:29 am,Social/recreation,"Yes, Rideshare (e.g. Uber, Lyft, etc.)","Short wait time,Free ride,Novel technology",,,Yes,Yes,$4-5,Very important,Somewhat important,Very important,Very important,4.0,3.0,4.0,4.0,,,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Rideshare (e.g. Uber, Lyft, etc.); choice_factors=Short wait time,Free ride,Novel technology; barriers=; encouragement=; late_night_change=Yes; views_changed=Yes",Derived public-safe record; raw open-ended responses omitted.,1998,24,18–24,Male,Other,Masters,2,94123,No,2,"Public Transit (Bus, Train, etc.)"
RR-0014,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Comfort,Positive,0.6,Dropoff area,37.730273,-122.405546,-122.405546,37.730273,Final dropoff coordinate from anonymized Dropoff Location field,25.0,11:30 - 12:29 am,Shop/errands,"No, I would not have made this trip otherwise.","Don’t need to park,More comfortable     ,Cost (cheaper than alternatives)",,,Yes,Yes,$9-10,Somewhat important,Somewhat important,Very important,Very important,3.0,3.0,4.0,4.0,"I would not ride in the car with someone else. The car already takes me 40 minutes to get home from school, and the bus takes 45 minutes, so having to prolong my destination even further with another passenger would not be ideal in my case, and I wouldn't do it.",,"respondent_group=Rider; purpose=Shop/errands; alternative=No, I would not have made this trip otherwise.; choice_factors=Don’t need to park,More comfortable     ,Cost (cheaper than alternatives); barriers=; encouragement=; late_night_change=Yes; views_changed=Yes",Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Black or African American,BS/BA,1,94134,No,2,"Public Transit (Bus, Train, etc.)"
RR-0015,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Rider Experience,Positive,0.6,Dropoff area,37.769185,-122.44477,-122.44477,37.769185,Final dropoff coordinate from anonymized Dropoff Location field,10.0,12:30 - 1:29 am,Other (please specify),"Yes, Walk","Fastest way to get there,Free ride,Fun",,,Yes,Yes,$8-9,Somewhat important,Very important,Very important,Not at all important,3.0,4.0,4.0,,,,"respondent_group=Rider; purpose=Other (please specify); alternative=Yes, Walk; choice_factors=Fastest way to get there,Free ride,Fun; barriers=; encouragement=; late_night_change=Yes; views_changed=Yes",Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Male,Prefer not to say,BS/BA,Less than 1,94118,Yes,1,Walk
RR-0016,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Safety/Trust,Positive,0.6,Dropoff area,37.776564,-122.450719,-122.450719,37.776564,Final dropoff coordinate from anonymized Dropoff Location field,21.0,10:30 - 11:29 pm,Shop/errands,"No, I would not have made this trip otherwise.","Safer alternative,Free ride,Novel technology",,,Yes,Yes,$10 or more,Very important,Very important,Very important,Not at all important,4.0,4.0,4.0,,"I am open to sharing the ride, but on certain scenarios I feel that a solo ride is often better. Maybe incorporating an option to provide a solo or shared ride could be something interesting to test.",,"respondent_group=Rider; purpose=Shop/errands; alternative=No, I would not have made this trip otherwise.; choice_factors=Safer alternative,Free ride,Novel technology; barriers=; encouragement=; late_night_change=Yes; views_changed=Yes",Derived public-safe record; raw open-ended responses omitted.,2003,19,18–24,Male,Prefer not to say,BS/BA,Less than 1,94117,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0017,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Reliability/Late-Night Mobility,Positive,0.35,Dropoff area,37.776181,-122.45714,-122.45714,37.776181,Final dropoff coordinate from anonymized Dropoff Location field,9.0,10:30 - 11:29 pm,School,"Yes, Walk","Reliable service,Cost (cheaper than alternatives) ,Free ride",,,Yes,No,$7-8,Somewhat important,,,,3.0,,,,,,"respondent_group=Rider; purpose=School; alternative=Yes, Walk; choice_factors=Reliable service,Cost (cheaper than alternatives) ,Free ride; barriers=; encouragement=; late_night_change=Yes; views_changed=No",Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Male,White,BS/BA,2,94118,Yes,3,Walk
RR-0018,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Rider Experience,Positive,0.4,Dropoff area,37.762011,-122.436267,-122.436267,37.762011,Final dropoff coordinate from anonymized Dropoff Location field,16.0,11:30 - 12:29 am,Social/recreation,"Yes, Rideshare (e.g. Uber, Lyft, etc.)","Free ride,Novel technology,Fun",,,Yes,Yes,$4-5,Very important,Very important,Very important,Very important,4.0,4.0,4.0,4.0,I would share it with someone else,,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Rideshare (e.g. Uber, Lyft, etc.); choice_factors=Free ride,Novel technology,Fun; barriers=; encouragement=; late_night_change=Yes; views_changed=Yes",Derived public-safe record; raw open-ended responses omitted.,1998,24,18–24,Male,White,Masters,Less than 1,94118,No,2,"Public Transit (Bus, Train, etc.)"
RR-0019,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Rider Experience,Neutral,0.0,Dropoff area,37.778247,-122.434852,-122.434852,37.778247,Final dropoff coordinate from anonymized Dropoff Location field,11.0,10:30 - 11:29 pm,Social/recreation,"Yes, Rideshare (e.g. Uber, Lyft, etc.)","Short wait time,Easy to call car,Free ride",,,No,No,$10 or more,Very important,Very important,Very important,Very important,4.0,4.0,4.0,4.0,"It would be convenient and helpful to share the ride with another passenger, especially since the price would be cheaper compared to Uber/Lyft rideshare.",,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Rideshare (e.g. Uber, Lyft, etc.); choice_factors=Short wait time,Easy to call car,Free ride; barriers=; encouragement=; late_night_change=No; views_changed=No",Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Female,Asian,BS/BA,4,94117,No,3,"Public Transit (Bus, Train, etc.)"
RR-0020,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Rider Experience,Positive,0.25,Dropoff area,37.776962,-122.446026,-122.446026,37.776962,Final dropoff coordinate from anonymized Dropoff Location field,10.0,10:30 - 11:29 pm,Social/recreation,"Yes, Public Transit (Bus, Train, etc.)","Don’t need to park,Free ride,Novel technology",,,No,Yes,$3-4,Very important,Very important,Very important,Very important,4.0,4.0,4.0,4.0,I would be comfortable.,,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Public Transit (Bus, Train, etc.); choice_factors=Don’t need to park,Free ride,Novel technology; barriers=; encouragement=; late_night_change=No; views_changed=Yes",Derived public-safe record; raw open-ended responses omitted.,1999,23,18–24,Male,Other,BS/BA,4,94118,No,4,"Rideshare (e.g. Uber, Lyft, etc.)"
RR-0021,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Rider Experience,Positive,0.4,Dropoff area,37.787315,-122.409741,-122.409741,37.787315,Final dropoff coordinate from anonymized Dropoff Location field,16.0,10:30 - 11:29 pm,Social/recreation,"Yes, Rideshare (e.g. Uber, Lyft, etc.)","Easy to call car,Free ride,Fun",,,Yes,Yes,$6-7,Somewhat important,"Somewhat important,Very important",Very important,Very important,3.0,,4.0,4.0,,,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Rideshare (e.g. Uber, Lyft, etc.); choice_factors=Easy to call car,Free ride,Fun; barriers=; encouragement=; late_night_change=Yes; views_changed=Yes",Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Female,White,BS/BA,2,94118,Yes,1,"Rideshare (e.g. Uber, Lyft, etc.)"
RR-0027,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Safety/Trust,Positive,0.35,Dropoff area,37.779368,-122.463973,-122.463973,37.779368,Final dropoff coordinate from anonymized Dropoff Location field,,3:30 - 4:29 am,Shop/errands,"No, I would not have made this trip otherwise.","Safer alternative,More comfortable     ,Free ride",,,Yes,No,$3-4,Not at all important,Somewhat important,Very important,Very important,,3.0,4.0,4.0,,,"respondent_group=Rider; purpose=Shop/errands; alternative=No, I would not have made this trip otherwise.; choice_factors=Safer alternative,More comfortable     ,Free ride; barriers=; encouragement=; late_night_change=Yes; views_changed=No",Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Black or African American,BS/BA,3,94117,No,0,"Rideshare (e.g. Uber, Lyft, etc.)"
RR-0028,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Comfort,Positive,0.35,Dropoff area,37.770738,-122.442239,-122.442239,37.770738,Final dropoff coordinate from anonymized Dropoff Location field,23.0,10:30 - 11:29 pm,Social/recreation,"Yes, Rideshare (e.g. Uber, Lyft, etc.)","More comfortable     ,Cost (cheaper than alternatives) ,Free ride",,,Yes,No,$8-9,Somewhat important,Somewhat important,Very important,Very important,3.0,3.0,4.0,4.0,I don’t know maybe not,,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Rideshare (e.g. Uber, Lyft, etc.); choice_factors=More comfortable     ,Cost (cheaper than alternatives) ,Free ride; barriers=; encouragement=; late_night_change=Yes; views_changed=No",Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Black or African American,BS/BA,3,94117,No,0,"Rideshare (e.g. Uber, Lyft, etc.)"
RR-0029,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Comfort,Positive,0.35,Dropoff area,37.774427,-122.457199,-122.457199,37.774427,Final dropoff coordinate from anonymized Dropoff Location field,10.0,12:30 - 1:29 am,Social/recreation,"Yes, Rideshare (e.g. Uber, Lyft, etc.)","Didn't want to drive after drinking ,More comfortable     ,Cost (cheaper than alternatives)",,,Yes,No,$8-9,Very important,Very important,Very important,Somewhat important,4.0,4.0,4.0,3.0,I would prefer to keep it with people that I know,,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Rideshare (e.g. Uber, Lyft, etc.); choice_factors=Didn't want to drive after drinking ,More comfortable     ,Cost (cheaper than alternatives); barriers=; encouragement=; late_night_change=Yes; views_changed=No",Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Asian,BS/BA,3,94118,No,4,Drive Alone
RR-0030,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Reliability/Late-Night Mobility,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Nervous about going out late in the city,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Nervous about going out late in the city; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Female,White,BS/BA,3,94118,Yes,1,Walk
RR-0031,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Weekly reminders via email or phone,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Weekly reminders via email or phone; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Non-binary / third gender,Other,BS/BA,2,94117,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0032,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,34.0544,-118.2441,-118.2441,34.0544,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,White,BS/BA,3,94115,No,6 or more,Bicycle
RR-0033,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,40.7876,-74.06,-74.06,40.7876,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,White,BS/BA,3,94115,No,6 or more,Bicycle
RR-0034,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7825,-122.435,-122.435,37.7825,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Access to more locations in the city,,,,,,,,,,,,,"No particular reason, just exploring",respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Male,Asian,BS/BA,3,94118,No,3,"Public Transit (Bus, Train, etc.)"
RR-0035,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.7958,-122.4203,-122.4203,37.7958,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Weekly reminders via email or phone,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Weekly reminders via email or phone; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,94115,No,3,"Rideshare (e.g. Uber, Lyft, etc.)"
RR-0036,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,53.5582,9.9532,9.9532,53.5582,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,White,BS/BA,3,94115,No,6 or more,Bicycle
RR-0037,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Uncertain about availability of cars / getting stuck without a ride,Expanded times,,,,,,,,,,,,,Expanded options for commuting,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Uncertain about availability of cars / getting stuck without a ride; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,White,BS/BA,3,94118,Yes,3,"Rideshare (e.g. Uber, Lyft, etc.)"
RR-0038,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Reliability/Late-Night Mobility,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Nervous about going out late in the city,Expanded times,,,,,,,,,,,,,Expanded options for commuting,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Nervous about going out late in the city; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,White,BS/BA,3,94118,Yes,3,"Rideshare (e.g. Uber, Lyft, etc.)"
RR-0039,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Access to more locations in the city,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1995,27,25–34,Female,White,PhD/JD/Other,3,94122,Yes,0,Walk
RR-0040,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.7794,-122.2178,-122.2178,37.7794,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1995,27,25–34,Female,White,PhD/JD/Other,3,94122,Yes,0,Walk
